鞦韆,しゅうせん,春
秋扇,しゅうせん,秋,3
秋蝉,しゅうせん,秋,3
秋麗,しゅうれい,秋,1,3
秋冷,しゅうれい,秋,1,3
秋嶺,しゅうれい,秋,1,3
春光,しゅんこう,春,1,3
春耕,しゅんこう,春,1,3
白菖,しょうぶ,夏,1,3
菖浦,しょうぶ,夏,1,3
新秋,しんしゅう,秋,1,2
深秋,しんしゅう,秋,1,2
巣立ち,すだち,春,1,1
酢橘,すだち,秋,1,1
七種,ななくさ,新,1,2
七草,ななくさ,新,1,2
藁塚,にお,秋
鳰,にお,冬
梅雨,ばいう,夏,1,2
黴雨,ばいう,夏,1,2
梅林,ばいりん,夏,1,2
梅霖,ばいりん,夏,1,2
南風,はえ,夏
蠅,はえ,夏
